x,y,pci,rsrp
66.6715,11.9875,3900,-65.3328
82.7155,18.103,4100,-65.52549
82.759,15.1375,4100,-68.269708
69.4735,10.2565,3900,-68.641441
84.49,17.9395,4100,-69.055
82.891,20.3515,4100,-69.370982
79.3255,15.343,4100,-69.389837
101.9275,18.2095,4200,-69.806148
84.418,15.0955,4100,-69.878319
64.7785,12.154,3900,-69.983333
80.9845,15.301,4100,-70.282949
49.5715,20.365,3800,-71.525
87.7195,19.0435,4100,-71.787597
79.5175,22.927,4100,-71.808036
85.843,15.178,4100,-71.846586
54.0805,20.488,3800,-72.602381
87.1435,15.0265,4100,-72.657088
68.5705,12.058,3900,-73.339831
78.1795,16.9135,4100,-73.875
102.013,16.903,4200,-74.051502
100.1935,15.289,4200,-74.490498
63.3595,12.3085,3900,-74.920465
84.9715,22.9075,4100,-74.967704
100.153,18.373,4200,-75.299065
87.67,21.772,4100,-75.854245
100.357,17.0635,4200,-76.34
98.227,17.236,4200,-76.66381
70.7035,12.004,3900,-76.697525
98.3755,18.418,4200,-77.063592
98.4205,20.1955,4200,-77.271351
88.3135,14.404,4100,-77.336364
86.623,17.8855,4100,-77.341313
74.7415,2.89,4000,-77.34491
52.1845,20.536,3800,-77.402448
82.717,22.846,4100,-77.54375
69.1855,8.248,3900,-78.0665
101.8525,15.247,4200,-78.069106
88.3645,16.4185,4100,-78.271004
74.5495,4.6735,4000,-78.561111
75.001,8.4565,4000,-78.585075
87.727,24.0235,4100,-78.761372
76.9165,4.495,4000,-78.978404
76.8715,2.7175,4000,-79.109664
79.2355,2.4205,4000,-79.11592
76.153,16.4905,4100,-79.523223
73.1245,4.591,4000,-80.675
79.162,4.201,4000,-80.722984
75.3775,18.6445,4100,-80.739231
72.97,3.172,4000,-80.758582
78.5995,14.7685,4100,-80.851203
77.392,18.5935,4100,-80.922807
52.144,23.62,3800,-80.989177
88.285,17.962,4100,-81.210425
78.3205,13.1155,4100,-81.230204
98.0635,15.4615,4200,-81.249565
82.3315,2.935,4000,-81.318771
49.057,23.461,3800,-81.501384
61.6945,12.1135,3900,-81.778571
71.203,8.3155,3900,-81.847196
82.0375,10.057,4100,-82.157872
77.2375,7.807,4000,-82.409735
79.528,18.658,4100,-82.63834
58.738,12.4255,3900,-82.828169
88.2775,12.982,4100,-82.928452
81.6085,11.8465,4100,-83.395673
86.8165,11.4775,4100,-83.606019
55.63,20.8045,3800,-83.610121
72.3565,11.725,3900,-83.650602
60.2755,12.268,3900,-83.874312
90.0865,18.865,4100,-84.096739
69.2965,3.265,4000,-84.333051
82.252,4.4785,4100,-84.740909
90.631,16.954,4100,-84.854887
79.9495,11.8885,4100,-84.858447
65.986,8.329,3900,-84.879835
76.2325,14.947,4100,-84.948113
88.2355,11.323,4100,-85.073208
80.6725,2.977,4000,-85.108494
92.098,18.6955,4100,-85.30083
78.0415,11.4625,4100,-85.535714
73.336,8.2615,3900,-85.544131
76.51,11.857,3900,-85.655556
69.1015,4.93,3900,-85.674877
78.775,7.6495,4000,-85.751152
90.814,14.815,4100,-85.787755
74.377,11.911,3900,-85.851196
70.9945,4.7635,4000,-86.051163
71.077,3.3385,4000,-86.209968
83.872,2.896,4000,-86.258376
57.76,20.632,3800,-86.625086
72.277,22.636,4100,-86.725764
90.775,13.2745,4100,-86.744
64.045,6.5995,3900,-87.129858
76.1935,13.4065,4100,-87.298837
59.893,20.578,3800,-87.321901
89.9785,23.9665,4100,-87.351613
70.396,13.909,3900,-87.448352
54.8665,23.4325,3800,-87.566154
55.5385,12.5065,3900,-87.837879
66.175,6.427,3900,-87.854976
83.143,11.5705,4100,-88.024
72.343,15.8755,3900,-88.083019
56.9575,12.352,3900,-88.137945
84.802,11.5285,4100,-88.220388
82.096,7.684,4100,-88.472277
64.0885,3.634,4000,-88.49403
67.6,6.5095,3900,-88.506714
82.288,5.9005,4100,-88.636129
61.1965,20.545,3800,-89.086007
90.043,21.8305,4100,-89.151402
90.487,11.266,4100,-89.265217
57.4735,23.3665,3800,-89.267755
74.1145,15.5935,4100,-89.300823
92.2675,11.3395,4100,-89.344223
72.298,14.098,3900,-89.735714
92.2885,21.5365,4100,-89.791697
92.227,23.791,4100,-90.055725
61.8475,8.7895,3900,-90.463197
70.3225,15.6895,3900,-90.617063
80.5555,7.723,4100,-90.708397
94.4335,12.589,4200,-90.981735
67.522,3.4285,4000,-91.143083
74.0815,14.29,3900,-91.224255
69.499,6.58,3900,-91.559259
65.9845,3.586,4000,-91.930469
85.288,2.623,4000,-92.188341
91.573,7.3255,4100,-92.218107
74.053,17.848,4100,-92.365238
89.5,9.7495,4100,-92.596992
87.13,9.8095,4100,-92.607556
87.3115,2.9275,4000,-92.810577
54.1105,12.3055,3900,-93.218552
70.4965,22.5625,4100,-93.637643
52.102,12.5935,3900,-93.8277
59.305,6.7195,3900,-93.828922
73.933,22.4755,4100,-93.844541
70.3795,17.941,4100,-94.353409
61.675,6.6595,3900,-94.588703
83.6395,7.7635,4100,-94.811856
72.2725,17.7745,4100,-95.069305
96.1495,14.7985,4200,-95.113944
62.734,20.3875,3800,-95.288591
49.6645,14.671,3900,-95.698367
65.7025,20.5495,3800,-95.8168
93.574,11.425,4100,-97.020093
89.446,7.6165,4100,-97.491166
59.968,23.5405,3800,-97.700329
56.3875,8.572,3900,-97.937234
68.8435,22.8415,4100,-98.119792
85.414,7.6,4100,-98.134529
89.1985,2.524,4000,-98.402439
96.2605,9.8155,4100,-98.547297
52.153,14.608,3900,-98.579091
87.073,7.558,4100,-98.666169
94.2475,14.6095,4200,-98.838397
64.2805,20.5855,4100,-98.904587
96.208,12.4255,4100,-99.842105
49.8445,12.4135,3900,-99.927826
62.953,0.9355,3900,-100.146667
54.1705,14.6755,3900,-100.216667
61.864,23.4925,3800,-101.9
56.9935,4.4065,3900,-102.875
100.039,13.87,4200,-102.883333
49.879,18.46,3900,-103.075758
68.659,20.2375,4100,-103.31
59.596,8.8465,3900,-103.936842
49.831,16.564,3900,-103.955556
97.903,13.8055,4200,-104.180952
67.1185,20.2765,4100,-104.333333
52.204,16.6225,3900,-105.19
60.586,1.114,3900,-106.242857
56.9515,2.7475,3900,-106.4
94.3645,9.8635,4200,-107.333333
54.145,18.352,3900,-108.75
53.863,16.5805,3900,-109.15
52.1275,18.2845,3900,-109.266667
56.785,0.8545,3800,-113.85
