x,y,pci,rsrp,dis
6.9175,12.3145,3900,-116.585714,61.29802005
6.9745,14.566,3900,-119.691304,61.27311679
7.147,16.696,3700,-115,17.57892673
8.6875,16.657,3700,-116.385714,16.06576594
8.8135,12.2665,3700,-119.25,15.55778308
8.8705,14.518,3900,-123.133333,59.37656172
9.5515,13.315,3900,-124.86,58.66826856
11.095,13.3945,3700,-100.953333,13.25873053
12.985,13.1095,3700,-96.856497,11.36503829
14.5285,13.189,3700,-100.44087,9.822104828
16.4245,13.141,3700,-98.876772,7.925734745
18.202,13.096,3700,-94.596491,6.14802082
19.864,13.1725,3700,-90.343939,4.48695356
21.6385,13.009,3700,-85.604851,2.7124294
23.5435,13.3165,3700,-83.239453,0.840460885
25.552,13.0285,3700,-82.021795,1.20310276
27.0895,12.871,3700,-87.312821,2.747460873
28.7515,12.9475,3700,-94.737594,4.403493897
30.6475,12.8995,3700,-94.86569,6.30008623
32.185,12.742,3700,-90.679167,7.84228723
33.61,12.8245,3900,-101.73913,34.60595803
35.506,12.7765,3700,-106.9,11.16012761
37.5205,12.7255,3900,-107.2,30.69490923
39.4135,12.559,3900,-100.95303,28.80150111
40.699,21.1825,3800,-112.7325,10.09775328
41.3815,24.7225,3800,-100.269048,10.75348327
41.455,22.942,3800,-97.071975,9.885244054
41.5495,12.6235,3700,-109.1875,17.20555702
41.9995,21.031,3800,-101.605263,8.793731645
43.2775,24.6745,3800,-94.51194,9.152101535
43.4185,20.8765,3800,-94.417518,7.37550083
43.4455,12.5755,3900,-98.965248,24.76950146
43.4725,23.0095,3800,-98.572031,8.088076564
44.755,12.7795,3900,-95.107477,23.46096239
45.052,24.511,3800,-92.983,7.691954238
45.196,20.8315,3800,-91.738889,5.64719012
45.25,22.9645,3800,-94.530769,6.550551599
46.7635,12.4915,3800,-96.85,7.707834488
46.8295,24.466,3800,-94.326796,6.491447547
47.0305,23.038,3900,-90.086441,23.63101524
47.2135,20.899,3800,-82.609396,3.794694487
49.294,23.455,3800,-91.310791,4.469829974
49.5805,20.7205,3800,-78.198471,1.845931337
49.6675,14.7895,3800,-80.467286,4.486627074
49.729,12.535,3800,-87.515625,6.700330216
49.834,16.6825,3800,-78.718152,2.610202339
49.879,18.46,3800,-77.406734,1.015406323
51.9475,20.542,3800,-82.790071,1.919458583
52.0255,23.623,3800,-92.104235,4.668255161
52.15,14.4895,3800,-84.622568,4.940275929
52.204,16.6225,3800,-78.76443,3.020158315
52.2175,12.472,3800,-85.156701,6.900225449
52.249,18.4,3800,-77.820427,1.827361486
53.965,20.6095,3800,-83.37541,3.660121753
