x,y,pci,rsrp
49.4275,14.677,3800,-73.112676
49.702,20.836,3800,-73.980833
49.732,12.6535,3800,-83.051327
49.834,16.6825,3800,-69.627465
49.879,18.46,3800,-68.946617
51.9835,12.5965,3800,-79.773333
52.0345,14.611,3800,-77.633577
52.072,20.776,3800,-74.60916
52.249,18.4,3800,-67.525
52.5595,16.6135,3800,-73.351538
53.725,20.497,3800,-78.04569
53.8765,12.43,3800,-80.63
53.9785,16.459,3800,-71.796269
54.049,14.56,3800,-77.161364
54.148,18.4705,3800,-73.968939
55.177,12.2785,3800,-81.29816
55.633,20.923,3800,-73.88
56.7145,12.121,3900,-85.852239
56.743,8.563,3800,-96.47875
56.9035,0.8515,3800,-111.9
56.9035,0.8515,3900,-114.5
56.9035,0.8515,4000,-108.95
57.1885,2.7415,3800,-108.563636
57.1885,2.7415,3900,-111.466667
57.1885,2.7415,4000,-108.81
57.2305,4.4005,3800,-114.766667
57.2305,4.4005,3900,-106.25
57.2305,4.4005,4000,-105.915385
57.8815,20.7475,3800,-81.542748
58.8535,12.304,3900,-89.075
59.6605,6.7105,3800,-103.392857
59.6605,6.7105,4000,-103.866667
59.83,8.722,3800,-103.1
59.83,8.722,4000,-108.3
59.896,20.6965,3800,-83.84
60.394,12.265,3900,-85.602273
60.6985,0.874,4000,-103.033333
61.2025,20.782,3800,-88.75625
61.579,12.235,3900,-80.992593
61.7935,6.6565,3800,-109.375
61.7935,6.6565,4000,-99.434454
61.963,8.668,3800,-106.297436
61.963,8.668,4000,-100.46506
62.74,20.6245,3800,-91.074534
62.953,0.9355,4000,-98.026471
63.1165,12.0775,3900,-78.355882
64.045,6.5995,4000,-93.477692
64.0915,3.7525,4000,-88.153521
64.162,20.5885,3800,-101.83
64.162,20.5885,4100,-98.718812
64.5385,12.0415,3900,-73.299296
65.587,20.671,3800,-102.907143
65.587,20.671,4100,-99.10531
66.1,3.4645,4000,-88.869748
66.1075,8.4445,4000,-93.376923
66.412,6.421,4000,-88.688608
66.553,11.9905,3900,-71.785606
67.1245,20.5135,3800,-100.141379
67.1245,20.5135,4100,-102.826316
67.6345,3.1885,4000,-83.309032
67.9555,6.5005,4000,-86.210294
68.5705,12.058,3900,-72.477099
68.896,20.2315,3800,-100.18
68.896,20.2315,4100,-100.183333
68.959,22.72,3800,-108.2
68.959,22.72,4100,-96.648913
69.175,3.1495,4000,-81.9368
69.217,4.8085,4000,-79.479699
69.31,8.482,3900,-86.624113
69.4765,10.375,3900,-79.512414
69.499,6.58,3900,-91.233945
69.499,6.58,4000,-93.629231
70.3255,15.808,3900,-98.4
70.3255,15.808,4100,-92.417886
70.3795,17.941,4100,-86.718571
70.5175,14.0245,3900,-89.322414
70.5175,14.0245,4100,-92.433333
70.582,11.8885,3900,-81.827778
70.621,22.7965,4100,-93.396212
71.071,3.1015,4000,-80.424409
71.116,4.879,4000,-78.882707
71.3185,8.194,3900,-83.317857
72.154,17.7775,4100,-82.802381
72.28,22.7545,4100,-87.841085
72.4135,13.9765,4100,-90.838532
72.4615,15.8725,3900,-96.7568
72.478,11.8405,3900,-83.393893
72.8485,3.0565,4000,-76.674497
73.2205,8.383,4000,-82.480531
73.243,4.588,4000,-73.22549
73.933,22.4755,4100,-85.5
74.053,17.848,4100,-86.347222
74.0785,14.1715,3900,-92.375
74.0785,14.1715,4100,-88.431579
74.236,15.709,3900,-94.194382
74.236,15.709,4100,-90.241667
74.374,11.7925,3900,-86.422222
74.623,2.893,4000,-72.682517
74.905,4.6645,4000,-74.221925
74.995,8.2195,4000,-80.724476
75.6175,18.757,4100,-81.702542
76.1965,13.525,4100,-83.136496
76.2295,14.8285,4100,-80.935583
76.2685,16.369,4100,-82.964286
76.3885,11.7415,3900,-86.183333
77.1055,2.593,4000,-75.1
77.1535,4.489,4000,-74.367333
77.2435,8.044,4000,-76.230579
77.632,18.706,4100,-81.456818
78.166,11.6965,3900,-94.842857
78.166,11.6965,4000,-95.125806
78.166,11.6965,4100,-86.263636
78.4165,16.9075,4100,-78.020312
78.478,14.653,4100,-74.320741
78.5605,13.228,4100,-77.590323
79.015,7.762,4000,-78.596907
79.126,2.779,4000,-76.603008
79.4125,18.7795,4100,-75.595683
79.447,15.4585,4100,-71.302206
79.5265,4.5475,4000,-78.058036
79.636,22.924,4100,-75.34094
79.828,11.773,4100,-84.063636
80.5585,7.8415,4000,-84.035294
80.9095,2.971,4000,-75.343421
80.9845,15.301,4100,-72.388722
81.49,11.8495,4100,-83.376563
82.096,7.684,4000,-87.638596
82.096,7.684,4100,-87.366667
82.2715,9.9325,4000,-84.11
82.2715,9.9325,4100,-84.191089
82.285,5.782,4000,-90.402703
82.285,5.782,4100,-95.45
82.3735,4.594,4000,-85.872727
82.45,2.932,4000,-83.256589
82.6465,15.3775,4100,-74.133824
82.7185,18.2215,4100,-64.880469
82.8325,22.7245,4100,-74.734532
82.888,20.233,4100,-73.136434
83.14,11.452,4100,-84.589231
83.6365,7.645,4000,-88.205556
83.6365,7.645,4100,-92.271429
83.872,2.896,4000,-84.2325
84.421,15.214,4100,-75.162774
84.496,18.1765,4100,-67.366917
84.6835,11.5315,4100,-85.834091
84.784,20.185,4100,-69.487121
84.85,22.792,4100,-69.995946
85.4065,2.62,4000,-90.643548
85.606,15.184,4100,-73.129496
85.654,7.7125,4000,-97.030579
86.5045,17.8885,4100,-78.242308
86.8135,11.359,4100,-89.597368
86.9095,15.151,4100,-75.659398
87.2515,9.925,4100,-95.709032
87.307,7.4335,4000,-95.366071
87.307,7.4335,4100,-95.784615
87.5425,2.6845,4000,-87.392806
87.67,21.772,4100,-77.702326
87.844,19.2775,4100,-77.4675
87.964,24.0175,4100,-78.682927
88.12,11.4445,4100,-84.282443
88.3705,16.6555,4100,-82.335115
88.405,13.3345,4100,-86.437405
88.4095,18.196,4100,-80.857983
88.438,14.638,4100,-82.285827
89.083,2.6455,4000,-86.989516
89.3275,7.6195,4100,-96.258015
89.5,9.7495,4100,-91.10177
90.103,24.2005,4100,-88.907576
90.1645,21.946,4100,-90.473718
90.205,18.862,4100,-87.59386
90.253,11.3905,4100,-88.860937
90.7525,17.0695,4100,-82.372932
90.8905,13.153,4100,-86.366087
90.9385,15.049,4100,-84.194928
91.4545,7.3285,4100,-97.46875
92.095,18.577,4100,-87.976923
92.173,21.658,4100,-87.464885
92.227,23.791,4100,-90.588393
92.2675,11.3395,4100,-89.448413
93.571,11.3065,4100,-93.578899
94.249,9.985,3900,-115.28
94.249,9.985,4000,-116.383333
94.249,9.985,4100,-107.95
94.249,9.985,4200,-110
94.366,14.6065,4100,-110.625
94.366,14.6065,4200,-100.632653
94.4305,12.4705,4200,-93.952632
96.028,14.683,4200,-88.038889
96.0895,12.4285,4100,-100.74
96.0895,12.4285,4200,-99.758333
96.2605,9.8155,4100,-99.635514
96.2605,9.8155,4200,-109.85
97.939,15.2275,4200,-82.095833
98.0275,14.0395,4100,-110.347059
98.0275,14.0395,4200,-106.31
98.1055,17.1205,4200,-81.568345
98.1355,18.3055,4200,-75.265693
98.302,20.1985,4200,-74.605714
99.916,18.379,4200,-70.135075
99.9235,13.9915,4200,-96.637391
99.9565,15.295,4200,-77.136842
100.4755,17.0605,4200,-78.199324
101.977,15.481,4200,-78.170629
102.1315,16.9,4200,-79.109016
102.283,18.2005,4200,-71.298125
