x,y,pci,rsrp,dis
49.1785,23.5765,3800,-89.866879,4.620315195
49.5745,20.4835,3800,-75.410881,1.656859228
49.6675,14.7895,3800,-77.682243,4.486627074
49.726,12.4165,3800,-89.866879,6.818233367
49.7545,18.226,3800,-75.410881,1.271350168
49.9465,16.4425,3800,-76.638889,2.812522444
51.7885,23.629,3800,-86.154357,4.60701164
52.102,12.5935,3800,-82.891244,6.755504885
52.1275,18.2845,3800,-75.129018,1.773590285
52.15,14.4895,3800,-80.948936,4.940275929
52.1845,20.536,3800,-84.123554,2.08920589
52.201,16.504,3800,-76.746606,3.119559264
53.8405,20.3755,3800,-81.293162,3.458090875
53.9785,16.459,3800,-83.513699,4.340473044
54.1075,12.187,3800,-86.393529,7.824237742
54.148,18.4705,3800,-76.775127,3.621971321
54.1675,14.557,3800,-79.323158,5.841104027
54.8665,23.4325,3800,-94.934746,6.02739019
55.5325,12.2695,3900,-87.468382,12.68598883
55.63,20.8045,3800,-107,5.289934428
56.6275,8.6845,3900,-119.4,12.22063675
56.83,2.632,3900,-104.857143,15.11034248
56.9605,12.4705,3900,-87.148047,11.2549137
57.025,0.967,3900,-103.402703,16.11757116
57.115,4.522,3900,-100.118182,13.70883018
57.592,23.3635,3800,-98.02479,8.151935736
57.994,20.5075,3800,-87.2125,7.516336624
58.735,12.307,3900,-80.077459,9.483564731
59.6635,6.829,3900,-95.587603,10.29819383
59.7115,8.725,3900,-97.521705,9.331156212
59.7715,20.4625,3800,-92.614035,9.264835266
59.8465,23.425,4100,-105.3,24.810957
60.154,12.1525,3900,-83.7956,8.071649847
60.583,0.9955,3900,-97.682264,13.86171116
61.312,20.4235,3800,-98.786567,10.78802281
61.5475,6.307,3900,-90.420779,9.145663248
61.816,12.229,3900,-75.053815,6.40792049
61.8445,8.671,3900,-86.277364,7.467401573
61.9825,23.4895,4100,-102.9,22.70941603
62.6155,20.3905,4100,-103.273913,21.79095846
62.953,0.9355,3900,-94.553052,12.76637914
63.235,12.0745,3900,-78.395547,5.004293781
63.9235,6.484,3900,-83.718809,7.444451709
63.97,3.637,3900,-93.233445,9.887614728
64.2775,20.467,4100,-96.15733,20.13165307
64.7755,12.0355,3900,-63.5548,3.48032362
65.4595,20.3185,4100,-98.759028,18.94604873
66.1,3.4645,3900,-89.451364,9.344984283
66.1075,8.4445,3900,-78.693817,4.629963553
66.178,6.5455,3900,-77.052551,6.356715445
66.553,11.9905,3900,-65.076923,1.759146455
67.1185,20.2765,4100,-98.991549,17.28651829
67.6375,3.307,3900,-88.437023,9.277990421
67.84,6.622,3900,-78.953672,5.956815424
68.5705,12.058,3900,-64.157551,0.620855257
68.893,20.113,4100,-99.772761,15.50906374
69.0775,22.717,4100,-91.935019,15.58657933
69.1015,4.93,3900,-97.695122,7.688280123
69.175,3.1495,3900,-91.011638,9.466303727
69.2395,10.381,3900,-66.316335,2.414165746
69.3835,6.7015,3900,-74.949064,5.980759358
69.4255,8.3605,3900,-73.72972,4.3772083
70.1425,17.947,4100,-88.98838,14.38526591
70.444,15.805,3900,-84.370438,3.931041211
70.5145,13.906,3900,-84.245174,2.660943677
70.585,12.007,3900,-68.022709,2.435261793
70.7365,22.675,4100,-88.856997,13.95046441
70.9555,3.223,4000,-87.493902,6.682162767
71.2345,4.876,3900,-85.266239,8.262497277
71.3215,8.3125,3900,-79.265,5.267932469
72.106,15.8815,3900,-86.547475,5.111339477
72.2725,17.7745,4100,-92.121429,12.3055096
72.514,22.63,4100,-86.862613,12.2045031
72.532,13.9735,3900,-80.688103,4.540344838
72.5965,11.8375,3900,-73.140161,4.4418141
72.8515,3.175,4000,-88.60099,4.858364668
72.865,8.392,3900,-80.519934,6.249249955
73.1275,4.7095,4000,-82.876991,4.363417984
74.0785,14.1715,3900,-86.221818,6.079066746
74.17,22.4695,4100,-84.787013,10.55757502
74.233,15.5905,4100,-84.503879,11.02708118
74.29,17.842,4100,-88.412234,10.30943374
74.4955,11.908,3900,-82.179498,6.314979117
74.5015,2.7775,4000,-81.488835,3.510831597
74.7865,4.6675,4000,-80.521702,2.703917251
