x,y,pci,rsrp
49.294,23.455,38.0,-83.081818
49.552,14.911,38.0,-63.681949
49.5775,20.602,38.0,-59.940728
49.6105,12.538,38.0,-73.216333
49.645,18.5845,38.0,-60.365192
49.834,16.6825,38.0,-68.831439
51.91,23.7445,38.0,-81.917857
52.066,20.539,38.0,-88.655769
52.099,12.475,38.0,-87.857241
52.15,14.4895,38.0,-95.7721
52.204,16.6225,38.0,-90.965169
52.252,18.5185,38.0,-82.041456
53.863,16.5805,38.0,-68.105485
53.9305,14.563,38.0,-70.269406
53.962,20.491,38.0,-69.814386
53.989,12.19,38.0,-72.019807
54.0295,18.4735,38.0,-68.16654
54.6325,23.557,38.0,-87.602703
55.627,20.686,38.0,-73.015528
55.651,12.2665,38.0,-75.550385
56.6275,8.6845,39.0,-102.286207
56.9545,12.2335,39.0,-83.843779
57.025,0.967,40.0,-109.9
57.07,2.7445,39.0,-107.286207
57.115,4.522,40.0,-106.8
57.592,23.3635,38.0,-89.125301
57.8845,20.866,38.0,-99.392239
58.8505,12.1855,38.0,-87.957333
59.59,8.6095,40.0,-104.338462
59.6605,6.7105,39.0,-97.796875
59.8495,23.5435,38.0,-98.463448
59.893,20.578,38.0,-78.731615
60.2725,12.1495,39.0,-78.416
60.583,0.9955,40.0,-105.5
61.315,20.542,38.0,-101.9
61.579,12.235,39.0,-85.913636
61.681,6.8965,39.0,-95.858468
61.864,23.4925,38.0,-92.783893
61.96,8.5495,39.0,-89.869302
62.497,20.3935,38.0,-89.544819
62.956,1.054,40.0,-101.475
63.238,12.193,39.0,-80.134954
64.0885,3.634,40.0,-92.979149
64.1605,6.478,39.0,-87.942991
64.162,20.5885,41.0,-96.07735
64.66,12.157,39.0,-66.381949
65.581,20.434,41.0,-99.968
65.9815,3.4675,40.0,-91.0109
66.178,6.5455,39.0,-86.046743
66.229,8.56,39.0,-82.176426
66.556,12.109,39.0,-69.786667
67.24,20.392,41.0,-103.866667
67.756,3.304,40.0,-90.242105
67.9555,6.5005,39.0,-84.826066
68.686,11.9365,39.0,-71.27907
68.7805,20.353,39.0,-107.1
69.0775,22.717,41.0,-93.057692
69.2995,3.3835,40.0,-89.142857
69.307,8.3635,39.0,-78.855066
69.3385,4.924,39.0,-82.783128
69.4765,10.375,39.0,-74.829134
69.499,6.58,39.0,-80.917427
70.258,17.8255,41.0,-83.438889
70.399,14.0275,39.0,-89.348988
70.444,15.805,39.0,-89.665109
70.582,11.8885,39.0,-73.162782
70.7335,22.5565,41.0,-95.710757
71.077,3.3385,40.0,-83.453917
71.2345,4.876,40.0,-81.97251
71.3215,8.3125,39.0,-83.455985
72.2215,15.76,39.0,-95.730457
72.2755,17.893,41.0,-89.320701
72.3985,22.7515,41.0,-91.476
