,x,y,pci,zone
178,0.0,0.0,38.0,4.0
179,1.0,0.0,38.0,4.0
180,2.0,0.0,38.0,4.0
181,3.0,0.0,38.0,4.0
182,4.0,0.0,38.0,4.0
183,5.0,0.0,38.0,4.0
184,6.0,0.0,38.0,4.0
185,7.0,0.0,38.0,4.0
186,8.0,0.0,38.0,4.0
187,9.0,0.0,38.0,4.0
188,10.0,0.0,38.0,4.0
189,11.0,0.0,38.0,4.0
190,12.0,0.0,38.0,4.0
191,13.0,0.0,38.0,4.0
192,14.0,0.0,38.0,4.0
193,15.0,0.0,38.0,4.0
194,16.0,0.0,38.0,4.0
195,17.0,0.0,38.0,4.0
196,18.0,0.0,38.0,4.0
197,19.0,0.0,38.0,4.0
198,20.0,0.0,38.0,4.0
199,21.0,0.0,38.0,4.0
200,22.0,0.0,38.0,4.0
201,23.0,0.0,38.0,4.0
202,24.0,0.0,38.0,4.0
203,25.0,0.0,38.0,4.0
204,26.0,0.0,38.0,4.0
205,27.0,0.0,38.0,4.0
206,28.0,0.0,38.0,4.0
207,29.0,0.0,38.0,4.0
208,30.0,0.0,38.0,4.0
209,31.0,0.0,38.0,4.0
210,32.0,0.0,38.0,4.0
211,33.0,0.0,38.0,4.0
212,34.0,0.0,38.0,4.0
213,35.0,0.0,38.0,4.0
214,36.0,0.0,38.0,4.0
215,37.0,0.0,38.0,4.0
216,38.0,0.0,38.0,4.0
217,39.0,0.0,38.0,3.0
218,40.0,0.0,38.0,3.0
219,41.0,0.0,39.0,3.0
220,42.0,0.0,39.0,3.0
221,43.0,0.0,39.0,3.0
222,44.0,0.0,39.0,3.0
223,45.0,0.0,39.0,3.0
224,46.0,0.0,39.0,3.0
225,47.0,0.0,39.0,3.0
226,48.0,0.0,39.0,3.0
227,49.0,0.0,39.0,3.0
228,50.0,0.0,39.0,3.0
229,51.0,0.0,39.0,3.0
230,52.0,0.0,39.0,3.0
231,53.0,0.0,39.0,3.0
232,54.0,0.0,39.0,3.0
233,55.0,0.0,39.0,3.0
234,56.0,0.0,39.0,3.0
235,57.0,0.0,39.0,3.0
236,58.0,0.0,39.0,3.0
237,59.0,0.0,39.0,3.0
238,60.0,0.0,39.0,3.0
239,61.0,0.0,39.0,3.0
240,62.0,0.0,39.0,3.0
241,63.0,0.0,39.0,3.0
242,64.0,0.0,39.0,3.0
243,65.0,0.0,39.0,3.0
244,66.0,0.0,39.0,3.0
245,67.0,0.0,39.0,3.0
246,68.0,0.0,39.0,3.0
247,69.0,0.0,39.0,3.0
