x,y,pci,rsrp
66.0,0.0,39.0,-89.451364
67.0,0.0,39.0,-89.451364
68.0,0.0,39.0,-88.437023
69.0,0.0,39.0,-91.011638
70.0,0.0,40.0,-91.011638
65.0,1.0,39.0,-93.23344499999999
66.0,1.0,39.0,-89.451364
67.0,1.0,39.0,-89.451364
68.0,1.0,39.0,-88.437023
69.0,1.0,39.0,-91.011638
70.0,1.0,40.0,-91.011638
64.0,2.0,39.0,-93.23344499999999
65.0,2.0,39.0,-93.23344499999999
66.0,2.0,39.0,-89.451364
67.0,2.0,39.0,-89.451364
68.0,2.0,39.0,-88.437023
69.0,2.0,39.0,-91.011638
70.0,2.0,39.0,-91.011638
64.0,3.0,39.0,-93.23344499999999
65.0,3.0,39.0,-93.23344499999999
66.0,3.0,39.0,-89.451364
67.0,3.0,39.0,-89.451364
68.0,3.0,39.0,-88.437023
69.0,3.0,39.0,-91.011638
70.0,3.0,39.0,-91.011638
60.0,4.0,39.0,-95.587603
61.0,4.0,39.0,-95.587603
62.0,4.0,39.0,-93.23344499999999
63.0,4.0,39.0,-93.23344499999999
64.0,4.0,39.0,-93.23344499999999
65.0,4.0,39.0,-93.23344499999999
66.0,4.0,39.0,-89.451364
67.0,4.0,39.0,-89.451364
68.0,4.0,39.0,-88.437023
69.0,4.0,39.0,-91.011638
70.0,4.0,39.0,-91.011638
71.0,4.0,39.0,-91.011638
60.0,5.0,39.0,-95.587603
61.0,5.0,39.0,-95.587603
62.0,5.0,39.0,-93.23344499999999
63.0,5.0,39.0,-93.23344499999999
64.0,5.0,39.0,-93.23344499999999
65.0,5.0,39.0,-93.23344499999999
66.0,5.0,39.0,-89.451364
67.0,5.0,39.0,-89.451364
68.0,5.0,39.0,-88.437023
69.0,5.0,39.0,-91.011638
70.0,5.0,39.0,-91.011638
71.0,5.0,39.0,-91.011638
59.0,6.0,39.0,-95.587603
60.0,6.0,39.0,-95.587603
61.0,6.0,39.0,-95.587603
62.0,6.0,39.0,-90.42077900000001
63.0,6.0,39.0,-90.42077900000001
64.0,6.0,39.0,-83.718809
65.0,6.0,39.0,-83.718809
70.0,6.0,39.0,-83.718809
72.0,6.0,39.0,-83.718809
73.0,6.0,39.0,-83.718809
59.0,7.0,39.0,-95.587603
60.0,7.0,39.0,-95.587603
61.0,7.0,39.0,-95.587603
62.0,7.0,39.0,-90.42077900000001
63.0,7.0,39.0,-90.42077900000001
64.0,7.0,39.0,-83.718809
58.0,8.0,39.0,-95.587603
59.0,8.0,39.0,-95.587603
60.0,8.0,39.0,-95.587603
61.0,8.0,39.0,-95.587603
62.0,8.0,39.0,-86.277364
63.0,8.0,39.0,-86.277364
64.0,8.0,39.0,-83.718809
58.0,9.0,39.0,-97.52170500000001
59.0,9.0,39.0,-97.52170500000001
60.0,9.0,39.0,-97.52170500000001
61.0,9.0,39.0,-97.52170500000001
62.0,9.0,39.0,-86.277364
63.0,9.0,39.0,-86.277364
59.0,10.0,39.0,-97.52170500000001
61.0,10.0,39.0,-97.52170500000001
62.0,10.0,39.0,-86.277364
61.0,11.0,39.0,-97.52170500000001
